model,fpr,tpr,threshold
rule,0.0,0.0,inf
rule,0.0,0.01303538175046555,1.0
rule,0.0,0.0148975791433892,0.9999999999999931
rule,0.000651890482398957,0.0148975791433892,0.999999999989851
rule,0.000651890482398957,0.03165735567970205,0.9999991398184914
rule,0.000651890482398957,0.035381750465549346,0.999999032686697
rule,0.000651890482398957,0.03910614525139665,0.9999983644383216
rule,0.000651890482398957,0.04283054003724395,0.9999979213818929
rule,0.000651890482398957,0.0521415270018622,0.9999959182888789
rule,0.000651890482398957,0.9459962756052142,0.9999958460720283
rule,0.000651890482398957,0.9515828677839852,0.9999957953824242
rule,0.000651890482398957,0.9553072625698324,0.999995789035653
rule,0.000651890482398957,0.9590316573556797,0.9999951893499214
rule,0.000651890482398957,0.962756052141527,0.9999950224874474
rule,0.000651890482398957,0.9664804469273743,0.9999939987252057
rule,0.000651890482398957,0.9702048417132216,0.9999895595871514
rule,0.000651890482398957,0.9795158286778398,0.9996170007075039
rule,0.001303780964797914,0.9795158286778398,0.9993751110034103
rule,0.001303780964797914,0.9813780260707635,0.9991682416848148
rule,0.001303780964797914,0.9851024208566108,0.998896211955412
rule,0.001955671447196871,0.9851024208566108,0.07087105798004911
rule,0.017601043024771838,0.9906890130353817,0.058720707131488976
rule,0.018252933507170794,0.9906890130353817,0.0473318621628362
rule,0.018252933507170794,0.9925512104283054,0.04548485526147848
rule,0.018904823989569754,0.9925512104283054,0.035741582157537366
rule,0.018904823989569754,0.9962756052141527,0.018964824345032327
rule,0.02346805736636245,0.9962756052141527,0.0007400516129375539
rule,0.02607561929595828,0.9962756052141527,0.0007243804921086111
rule,0.02803129074315515,0.9962756052141527,0.00028121427200520206
rule,0.02998696219035202,0.9962756052141527,0.00023445871591177514
rule,0.030638852672750978,0.9962756052141527,0.00019773921828275878
rule,0.031942633637548894,0.9962756052141527,0.00015584122088391946
rule,0.033246414602346806,0.9962756052141527,0.00013714492189169968
rule,0.03455019556714472,0.9962756052141527,0.00010216076372897162
rule,0.035202086049543675,0.9962756052141527,9.64786489503646e-05
rule,0.038461538461538464,0.9962756052141527,9.086062493188573e-05
rule,0.03911342894393742,0.9962756052141527,7.851985344934955e-05
rule,0.04302477183833116,0.9962756052141527,6.960341022512654e-05
rule,0.0469361147327249,0.9962756052141527,6.809377352696384e-05
rule,0.048239895697522815,0.9962756052141527,6.072985999094876e-05
