rho_active,rho_cross,active_corr_raw,active_corr_bin,cross_corr_raw,cross_corr_bin,theta_raw,theta_bin,ic_rate_raw,ic_rate_bin,inv_raw,inv_bin,delta_theta,delta_ic_rate,delta_inv,theoretical_active_sign_corr,theoretical_cross_sign_corr,regime
-0.3,-0.09486832980505142,-0.30026182975827015,-0.19514589542229038,-0.09455033757458373,-0.058302749110625385,3.814585367951466,0.5621246768778267,0.0,1.0,10.217137726698745,2.440948185111521,-3.2524606910736393,1.0,-7.7761895415872235,-0.1939733680413566,-0.06048601598478352,out_of_scope
-0.25,-0.15,-0.2505490941868708,-0.1614581381323006,-0.14995568000886877,-0.09407222213356284,2.415874710467886,0.7298368829952275,0.0,1.0,4.093412884453615,1.972685034782339,-1.6860378274726584,1.0,-2.120727849671276,-0.16086124651033248,-0.09585473954087376,out_of_scope
-0.2,-0.18973665961010272,-0.2006711943598427,-0.12816668236522574,-0.1902483626340335,-0.12031197394856256,1.9122941327309448,0.7814666170738278,0.0,1.0,2.557478626361304,1.6625628647882134,-1.130827515657117,1.0,-0.8949157615730905,-0.12818843369794988,-0.12152684842423267,out_of_scope
-0.15,-0.22248595461286988,-0.15079902377648596,-0.0970179535970017,-0.22321449556012268,-0.14103869138060604,1.630965954848066,0.7959777050758926,0.0,1.0,1.8576335776703146,1.4249346005169836,-0.8349882497721733,1.0,-0.43269897715333094,-0.09585473954087376,-0.1428343017319596,out_of_scope
-0.1,-0.25099800796022265,-0.10125163937311735,-0.06404755935859174,-0.25157505370824185,-0.16263557381822139,1.4456735631201831,0.8052945811116589,0.0,1.0,1.4689046153943437,1.2606388981504195,-0.6403789820085243,1.0,-0.20826571724392418,-0.06376856085851985,-0.16151752227867666,out_of_scope
-0.05,-0.2765863337187866,-0.05135268081893581,-0.028025032971457246,-0.27740632376965035,-0.18164978223680336,1.3117797955028077,0.7935924538190104,0.0,1.0,1.2084201802036814,1.1199462040416512,-0.5181873416837972,1.0,-0.08847397616203012,-0.03184426647332069,-0.1784063513814327,out_of_scope
0.0,0.3,-0.001386845832191366,-0.000871662081554173,0.30103338705253313,0.19563554127167557,1.209231881760072,0.7849019352619084,0.0,1.0,1.0573675984273465,1.0445121930506303,-0.4243299464981636,1.0,-0.012855405376716256,0.0,0.1939733680413566,strong
0.1,0.3420526275297414,0.09859643846639146,0.06209107244627256,0.3434404603500506,0.2232371978612085,1.0602184400717374,0.7531385908045478,0.0,1.0,1.3036853250367115,1.2056042893978296,-0.30707984926718956,1.0,-0.09808103563888193,0.06376856085851985,0.2222442296491721,strong
0.2,0.3794733192202055,0.19866942321290498,0.12815012153667493,0.3811500269850986,0.24875655167286076,0.9553465592409319,0.718679951900157,1.0,1.0,1.5906855235824469,1.3887826930075982,-0.23666660734077494,0.0,-0.2019028305748487,0.12818843369794988,0.24778958509025817,weak
0.3,0.4135214625627066,0.2986836940479952,0.19137669602638846,0.4154178916876091,0.2721392886263866,0.8764120859151632,0.6917685323041008,1.0,1.0,1.9118887585174487,1.5696881914773406,-0.18464355361106233,0.0,-0.34220056704010804,0.1939733680413566,0.2714026710547662,weak
0.4,0.44497190922573976,0.39881783941642973,0.2633342642248821,0.4470808406765559,0.29559503891961325,0.814229934361747,0.6603526832360843,1.0,1.0,2.312057235871096,1.7871533003147355,-0.15387725112566264,0.0,-0.5249039355563603,0.2619797608689093,0.2935726837835425,weak
0.5,0.4743416490252569,0.5015850725479325,0.33333241115579726,0.4721947596886644,0.3151985896295602,0.754100444921276,0.6304092008649086,1.0,1.0,2.855787145531376,2.041195855949508,-0.12369124405636744,0.0,-0.8145912895818683,0.33333333333333337,0.3146277057264903,weak
0.6,0.5019960159204453,0.600004980874839,0.4145294590426194,0.5030056417151834,0.33667411144086706,0.7185989564022417,0.6002885030773599,1.0,1.0,3.6332557896799003,2.382718954026161,-0.11831045332488177,0.0,-1.2505368356537394,0.4096655293982669,0.33480159384692876,weak
0.7,0.5282045058497702,0.7000406126215869,0.496937241657903,0.5294023552972836,0.356183290845612,0.6831012844802762,0.5720498944072532,1.0,1.0,4.938888383887885,2.8185111594775014,-0.111051390073023,0.0,-2.120377224410384,0.49363337778673,0.3542691178348958,weak
0.8,0.5531726674375732,0.8000543127301111,0.5902251751598592,0.5545381132141547,0.3707818371321084,0.6523700169399973,0.5352308445994921,1.0,1.0,7.487118020965687,3.559889093073699,-0.1171391723405052,0.0,-3.9272289278919876,0.5903344706017332,0.3731660518212451,weak
0.9,0.5770615218501404,0.9003669617758036,0.711893150875431,0.5736291046567612,0.3921912018693656,0.6199607623889922,0.5003829118702244,1.0,1.0,15.279519503092194,5.189114075927716,-0.11957785051876779,0.0,-10.090405427164479,0.7128674137425876,0.3916014447908801,weak
