rho_active,raw_cross_scale,rect_cross_scale,extra_rectified_margin
-0.25,0.3,0.85,0.55
-0.2,0.35,0.75,0.4
-0.15,0.4,0.8,0.4
-0.1,0.45,0.8,0.35000000000000003
-0.05,0.5,0.8,0.30000000000000004
0.0,0.5,0.8,0.30000000000000004
0.05,0.55,0.8,0.25
0.1,0.6,0.85,0.25
0.15,0.6,0.85,0.25
0.2,0.65,0.85,0.19999999999999996
0.25,0.7,0.85,0.15000000000000002
0.3,0.7,0.9,0.20000000000000007
0.35,0.75,0.9,0.15000000000000002
0.4,0.75,0.9,0.15000000000000002
0.45,0.8,0.9,0.09999999999999998
0.5,0.8,0.9,0.09999999999999998
0.55,0.85,0.95,0.09999999999999998
0.6,0.85,0.95,0.09999999999999998
0.65,0.9,0.95,0.04999999999999993
0.7,0.9,0.95,0.04999999999999993
0.75,0.95,,
0.8,0.95,,
0.85,0.95,,
0.9,,,
