rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
-0.25,0.2,-0.05,2201,0.794036007036659,0.2562987203127375,1.0,1.0
-0.25,0.2,-0.05,2202,0.7835644688193681,0.20414532418788126,1.0,1.0
-0.25,0.2,-0.05,2203,0.7050814002615364,0.21579925381281345,1.0,1.0
-0.25,0.25,-0.0625,2201,0.9928682829127645,0.2956580280549388,1.0,1.0
-0.25,0.25,-0.0625,2202,0.987226722899482,0.3005268652281414,1.0,1.0
-0.25,0.25,-0.0625,2203,0.9153996213321647,0.29311466741546155,1.0,1.0
-0.25,0.3,-0.075,2201,1.191926563744782,0.3485281286072548,0.0,1.0
-0.25,0.3,-0.075,2202,1.19092587314169,0.3434672357702967,0.0,1.0
-0.25,0.3,-0.075,2203,1.127030104587464,0.34402219486504504,0.0,1.0
-0.25,0.35,-0.0875,2201,1.391000892965514,0.4071661962023289,0.0,1.0
-0.25,0.35,-0.0875,2202,1.3953291810629338,0.41719140463606247,0.0,1.0
-0.25,0.35,-0.0875,2203,1.3386971686007607,0.4012902915120993,0.0,1.0
-0.25,0.4,-0.1,2201,1.5909035971090182,0.460723229490985,0.0,1.0
-0.25,0.4,-0.1,2202,1.5998102362261206,0.46160035226616175,0.0,1.0
-0.25,0.4,-0.1,2203,1.5516744337735833,0.4794083490785319,0.0,1.0
-0.25,0.45,-0.1125,2201,1.7910295304518074,0.5634329983862436,0.0,1.0
-0.25,0.45,-0.1125,2202,1.8040442778876224,0.5099350110514628,0.0,1.0
-0.25,0.45,-0.1125,2203,1.7665270242859388,0.5599822257498128,0.0,1.0
-0.25,0.5,-0.125,2201,1.9913205634897928,0.5877056878704777,0.0,1.0
-0.25,0.5,-0.125,2202,2.008869801394813,0.6115296050318686,0.0,1.0
-0.25,0.5,-0.125,2203,1.9799844541728424,0.6379411753943698,0.0,1.0
-0.25,0.55,-0.1375,2201,2.19191014744371,0.6440317762478577,0.0,1.0
-0.25,0.55,-0.1375,2202,2.213291621214522,0.6525902238226122,0.0,1.0
-0.25,0.55,-0.1375,2203,2.1948022596278323,0.6520398634045651,0.0,1.0
-0.25,0.6,-0.15,2201,2.393149868020794,0.672714434976108,0.0,1.0
-0.25,0.6,-0.15,2202,2.4178847075016074,0.7660243321926248,0.0,1.0
-0.25,0.6,-0.15,2203,2.408474583505506,0.7705064752927595,0.0,1.0
-0.25,0.65,-0.1625,2201,2.594358141209239,0.7840728770295966,0.0,1.0
-0.25,0.65,-0.1625,2202,2.622122107897235,0.7887324129218678,0.0,1.0
-0.25,0.65,-0.1625,2203,2.6220420774986177,0.7175297616907511,0.0,1.0
-0.25,0.7,-0.175,2201,2.796330471010918,0.8210709834060812,0.0,1.0
-0.25,0.7,-0.175,2202,2.826346408260543,0.8957053449640898,0.0,1.0
