label,family,view,support_source,rho_active,cross_scale,support_size,rho_cross_hat,theta_hat
HAI a1,HAI,raw,raw sparse baseline,0.26795192884360997,0.615636700317417,26,0.41342374153210704,1.115850510513893
HAI a1,HAI,rectified,rectified sparse baseline,0.2680970752320043,0.5364112699655329,39,0.36026429035080015,1.2637822357702437
HAI a1,HAI,raw_rectified_support,raw data with rectified support,0.09998844112684425,0.5231733542468043,39,0.298250722891856,1.7698302221129119
HAI a2,HAI,raw,raw sparse baseline,0.2563249376260941,0.4794924475562379,50,0.318869220450243,1.0060278405262346
HAI a2,HAI,rectified,rectified sparse baseline,0.36870046639935367,0.6738380465976826,25,0.4889508116251703,0.9983571713193556
HAI a2,HAI,raw_rectified_support,raw data with rectified support,0.010479499775820657,0.3196474354853415,25,0.16231658527998863,2.7573949128117743
HAI a3,HAI,raw,raw sparse baseline,0.33908192842088275,0.5285461938452203,57,0.37534649300219974,1.0257157238553494
HAI a3,HAI,rectified,rectified sparse baseline,0.3265313926101579,0.6525044453141009,23,0.45903052120935545,1.1602811024044704
HAI a3,HAI,raw_rectified_support,raw data with rectified support,0.04945011132093466,0.37618440788986646,23,0.2015616921947197,1.65330221728952
HAI a4,HAI,raw,raw sparse baseline,0.3727470214644254,0.6871865562664928,27,0.500071783795795,1.0636709138680875
HAI a4,HAI,rectified,rectified sparse baseline,0.385134960959262,0.6436995093478847,34,0.47251719110272616,1.0191853190079305
HAI a4,HAI,raw_rectified_support,raw data with rectified support,0.23666854645244687,0.6194721348004542,34,0.40503313296180243,1.3984010188657683
Ionosphere generic,Radar,raw,raw sparse baseline,0.10748035819432813,0.33272908644338883,9,0.1913149624400419,0.9427510225896165
Ionosphere generic,Radar,rectified,rectified sparse baseline,0.15625484049592933,0.5011528478852825,10,0.3036800719993501,1.0202049661063628
Ionosphere generic,Radar,raw_rectified_support,raw data with rectified support,0.16628438287342553,0.482144553020789,10,0.29513914264071966,0.9609843653886669
