threshold,raw_rho,indicator_corr,prevalence,delta_vs_raw,delta_vs_zero_sign
-1.5,0.5993439871890817,0.2898364087083779,0.93404,-0.30950757848070376,-0.11782041568923629
-1.25,0.5993439871890817,0.3259016343728002,0.894856,-0.2734423528162815,-0.08175519002481402
-1.0,0.5993439871890817,0.3551249346455319,0.841336,-0.24421905254354975,-0.052531889752082284
-0.75,0.5993439871890817,0.37621344186436895,0.773644,-0.22313054532471271,-0.031443382533245245
-0.5,0.5993439871890817,0.3914390375386155,0.691856,-0.2079049496504662,-0.016217786858998717
-0.25,0.5993439871890817,0.40432785510653,0.600208,-0.19501613208255164,-0.0033289692910841717
0.0,0.5993439871890817,0.4076568243976142,0.500592,-0.19168716279146747,0.0
0.25,0.5993439871890817,0.4051756018784308,0.401868,-0.19416838531065084,-0.002481222519183368
0.5,0.5993439871890817,0.3941711457645427,0.308636,-0.20517284142453895,-0.013485678633071485
0.75,0.5993439871890817,0.37862885145257724,0.226756,-0.22071513573650442,-0.02902797294503695
1.0,0.5993439871890817,0.3552716021278325,0.158688,-0.24407238506124918,-0.052385222269781706
1.25,0.5993439871890817,0.32906422991663015,0.106264,-0.2702797572724515,-0.07859259448098405
1.5,0.5993439871890817,0.29678403354564753,0.067184,-0.30255995364343413,-0.11087279085196666
