domain,dataset_family,method,sample_train,sample_test,auc_test,j_test,f1max_test,tp,tn,fp,fn,tpr_test,tnr_test,nonzero_total,runtime_seconds,chosen_C,fit_features
HAI attack_p2 (a1),HAI,raw_l1,2552,1080,0.9492283950617283,0.574074074074074,0.8832684824902723,519,331,209,21,0.9611111111111111,0.6129629629629629,26,37.460282500018366,0.012,
HAI attack_p2 (a1),HAI,rectified_l1,2552,1080,0.9894907407407407,0.9296296296296296,0.9669499527856468,513,529,11,27,0.95,0.9796296296296296,57,0.6451967000029981,0.012,459.0
HAI attack_p1p2 (a2),HAI,raw_l1,2438,5638,0.9999553277115041,0.8740688187300463,0.9962759354495478,2819,2464,355,0,1.0,0.8740688187300462,50,22.121752900013234,0.012,
HAI attack_p1p2 (a2),HAI,rectified_l1,2438,5638,0.9993129905379059,0.989003192621497,0.9946600213599146,2795,2812,7,24,0.9914863426747074,0.9975168499467897,47,24.261716500041075,0.012,464.0
HAI attack_p3 (a3),HAI,raw_l1,1158,182,0.5515034416133318,-0.06593406593406592,0.7563025210084033,21,64,27,70,0.23076923076923078,0.7032967032967034,57,11.642162000003736,0.012,
HAI attack_p3 (a3),HAI,rectified_l1,1158,182,0.730406955681681,-0.06593406593406592,0.7843137254901961,1,84,7,90,0.01098901098901099,0.9230769230769231,41,0.3114651999785565,0.012,460.0
HAI attack_p1p3 (a4),HAI,raw_l1,1236,724,0.9407298312017338,0.7651933701657458,0.9045643153526971,305,334,28,57,0.8425414364640884,0.9226519337016574,27,5.428328399953898,0.012,
HAI attack_p1p3 (a4),HAI,rectified_l1,1236,724,0.9281271939195995,0.7127071823204421,0.8596237337192475,310,310,52,52,0.856353591160221,0.856353591160221,51,0.47997560002841055,0.012,455.0
Ionosphere radar,Radar,raw_l1,245,106,0.9593653250773994,0.7747678018575852,0.9503546099290779,67,30,8,1,0.9852941176470589,0.7894736842105263,9,0.0077751000062562525,0.1,
Ionosphere radar,Radar,rectified_l1,245,106,0.9195046439628483,0.7159442724458205,0.9197080291970804,63,30,8,5,0.9264705882352942,0.7894736842105263,10,0.009375500027090311,0.1,34.0
