method,method_family,family_label,representation,representation_label,protocol_version,auc_test,j_test,f1max_test,lag_f1_exact,nonzero_total,selected_features,runtime_seconds,selected_C,selected_l1_ratio,cv_candidate_count,fit_count,iteration_budget,cv_mean_loss,cv_se_loss,rectification_included,pilot_fit_count,selected_alpha,tuned_alpha,chosen_k,qp_solve_count,selected_min_samples_leaf
raw_l1,l1,L1,raw,Raw,synthetic-aa-v3-20260622,0.9946543778801844,0.8923502304147466,0.9315068493150686,0.0,409,V26TM0|V29TM0|V32TM0|V20TM10|V29TM1|V26TM1|V32TM1,4.9210427000653,10.0,,3,10,800,0.10798376966197944,0.004111739474137998,False,,,,,,
rectified_l1,l1,L1,rectified,Rectified,synthetic-aa-v3-20260622,0.9967127496159754,0.9461751152073732,0.9664429530201343,0.5714285714285714,344,V6TM7|V6TM6|V10TM0|V9TM1|V13TM10|V30TM7|V26TM5,2.826373999938369,10.0,,3,10,800,0.019032615790901212,0.003388773762198599,True,,,,,,
raw_enet,enet,Elastic Net,raw,Raw,synthetic-aa-v3-20260622,0.9947772657450077,0.8923502304147466,0.9315068493150686,0.0,430,V26TM0|V29TM0|V32TM0|V20TM10|V29TM1|V26TM1|V32TM1,4.248187099932693,10.0,0.5,3,10,800,0.10676753793283096,0.0039059817832223283,False,,,,,,
rectified_enet,enet,Elastic Net,rectified,Rectified,synthetic-aa-v3-20260622,0.9968970814132105,0.9461751152073732,0.9664429530201343,0.5714285714285714,393,V6TM7|V6TM6|V10TM0|V13TM10|V9TM1|V26TM5|V30TM7,2.8763137999922037,10.0,0.5,3,10,800,0.01675011644901096,0.0028909509770027176,True,,,,,,
raw_adaptive_l1,adaptive_l1,Adaptive L1,raw,Raw,synthetic-aa-v3-20260622,0.9956374807987711,0.8969585253456223,0.9375,0.0,209,V26TM0|V32TM0|V26TM1|V29TM0|V26TM10|V5TM0|V29TM1,3.7933603998972103,10.0,,3,14,800,0.1061816819878023,0.004321611901704386,False,4.0,,,,,
rectified_adaptive_l1,adaptive_l1,Adaptive L1,rectified,Rectified,synthetic-aa-v3-20260622,0.992073732718894,0.9287250384024577,0.9589041095890412,0.7142857142857143,81,V10TM0|V9TM1|V30TM7|V25TM3|V6TM7|V6TM6|V25TM4,2.8844200000166893,10.0,,3,14,800,0.017068042474199383,0.004920213229895407,True,4.0,,,,,
raw_group_lasso,group_lasso,Group Lasso,raw,Raw,synthetic-aa-v3-20260622,0.9933026113671275,0.8923502304147466,0.9261744966442953,0.0,385,V20TM10|V26TM0|V20TM9|V29TM0|V32TM0|V29TM1|V26TM10,1.7819993000011891,,,3,10,800,0.10972600800424537,0.004477371891133141,False,,0.01,0.01,,,
rectified_group_lasso,group_lasso,Group Lasso,rectified,Rectified,synthetic-aa-v3-20260622,0.9959139784946237,0.9149001536098309,0.9466666666666667,0.42857142857142855,429,V10TM0|V9TM1|V26TM5|V30TM7|V10TM1|V9TM0|V9TM2,1.7437558999517933,,,3,10,800,0.028022075013720494,0.004844748453532008,True,,0.01,0.01,,,
raw_ordered_prefix,ordered_prefix,Ordered Prefix,raw,Raw,synthetic-aa-v3-20260622,0.9931182795698925,0.8969585253456223,0.9324324324324323,0.0,37,V32TM10|V25TM10|V7TM10|V6TM0|V4TM10|V16TM10|V29TM10,3.2236097999848425,10.0,,3,10,800,0.11936911239470487,0.007827145738301676,False,,,,,,
rectified_ordered_prefix,ordered_prefix,Ordered Prefix,rectified,Rectified,synthetic-aa-v3-20260622,0.9925960061443933,0.9195084485407066,0.9530201342281879,0.0,37,V6TM10|V14TM0|V40TM10|V22TM10|V26TM10|V13TM10|V23TM10,3.3983490000246093,10.0,,3,10,800,0.0315227353196441,0.006133661635415183,True,,,,,,
raw_qp_selector,qp_selector,QP + L1,raw,Raw,synthetic-aa-v3-20260622,0.9153917050691245,0.6293087557603687,0.7536231884057971,0.0,15,V27TM9|V27TM10|V20TM3|V25TM8|V20TM10|V4TM0|V10TM5,8.590040400042199,10.0,,9,28,800,0.32422988996955837,0.003793235808851173,False,,,,15.0,4.0,
rectified_qp_selector,qp_selector,QP + L1,rectified,Rectified,synthetic-aa-v3-20260622,0.9898617511520738,0.9061751152073731,0.9517241379310346,0.2857142857142857,15,V10TM0|V6TM7|V25TM4|V30TM7|V9TM0|V17TM10|V7TM1,5.922619299963117,10.0,,9,28,800,0.02960840563470399,0.00551723265339496,True,,,,15.0,4.0,
raw_random_forest,random_forest,Random Forest,raw,Raw,synthetic-aa-v3-20260622,0.9992012288786483,0.9641167434715823,0.9868421052631579,0.14285714285714285,440,V10TM1|V10TM3|V10TM0|V10TM2|V26TM3|V10TM4|V10TM5,12.694163199979812,,,3,10,500,0.08679502231851076,0.0018537316256111128,False,,,,,,2.0
rectified_random_forest,random_forest,Random Forest,rectified,Rectified,synthetic-aa-v3-20260622,0.9946850998463901,0.910783410138249,0.9452054794520549,0.2857142857142857,378,V10TM0|V30TM6|V26TM5|V10TM1|V30TM5|V10TM2|V30TM7,6.176306699984707,,,3,10,500,0.0474997953806841,0.007208742331429004,True,,,,,,2.0
