method,method_label,family_label,representation_label,auc_test,j_test,lag_f1_exact,nonzero_total,runtime_seconds,fit_count,cv_candidate_count,iteration_budget,selected_features
raw_l1,Raw L1,L1,Raw,0.9946543778801844,0.8923502304147466,0.0,409,4.9210427000653,10,3,800,V26TM0|V29TM0|V32TM0|V20TM10|V29TM1|V26TM1|V32TM1
rectified_l1,Rectified L1,L1,Rectified,0.9967127496159754,0.9461751152073732,0.5714285714285714,344,2.826373999938369,10,3,800,V6TM7|V6TM6|V10TM0|V9TM1|V13TM10|V30TM7|V26TM5
raw_enet,Raw Elastic Net,Elastic Net,Raw,0.9947772657450076,0.8923502304147466,0.0,430,4.248187099932693,10,3,800,V26TM0|V29TM0|V32TM0|V20TM10|V29TM1|V26TM1|V32TM1
rectified_enet,Rectified Elastic Net,Elastic Net,Rectified,0.9968970814132104,0.9461751152073732,0.5714285714285714,393,2.876313799992204,10,3,800,V6TM7|V6TM6|V10TM0|V13TM10|V9TM1|V26TM5|V30TM7
raw_adaptive_l1,Raw Adaptive L1,Adaptive L1,Raw,0.9956374807987712,0.8969585253456223,0.0,209,3.7933603998972094,14,3,800,V26TM0|V32TM0|V26TM1|V29TM0|V26TM10|V5TM0|V29TM1
rectified_adaptive_l1,Rectified Adaptive L1,Adaptive L1,Rectified,0.992073732718894,0.9287250384024576,0.7142857142857143,81,2.8844200000166893,14,3,800,V10TM0|V9TM1|V30TM7|V25TM3|V6TM7|V6TM6|V25TM4
raw_group_lasso,Raw Group Lasso,Group Lasso,Raw,0.9933026113671276,0.8923502304147466,0.0,385,1.7819993000011891,10,3,800,V20TM10|V26TM0|V20TM9|V29TM0|V32TM0|V29TM1|V26TM10
rectified_group_lasso,Rectified Group Lasso,Group Lasso,Rectified,0.9959139784946236,0.9149001536098308,0.4285714285714285,429,1.7437558999517933,10,3,800,V10TM0|V9TM1|V26TM5|V30TM7|V10TM1|V9TM0|V9TM2
raw_ordered_prefix,Raw Ordered Prefix,Ordered Prefix,Raw,0.9931182795698924,0.8969585253456223,0.0,37,3.2236097999848425,10,3,800,V32TM10|V25TM10|V7TM10|V6TM0|V4TM10|V16TM10|V29TM10
rectified_ordered_prefix,Rectified Ordered Prefix,Ordered Prefix,Rectified,0.9925960061443933,0.9195084485407066,0.0,37,3.3983490000246093,10,3,800,V6TM10|V14TM0|V40TM10|V22TM10|V26TM10|V13TM10|V23TM10
raw_qp_selector,Raw QP + L1,QP + L1,Raw,0.9153917050691244,0.6293087557603687,0.0,15,8.590040400042199,28,9,800,V27TM9|V27TM10|V20TM3|V25TM8|V20TM10|V4TM0|V10TM5
rectified_qp_selector,Rectified QP + L1,QP + L1,Rectified,0.9898617511520738,0.9061751152073731,0.2857142857142857,15,5.922619299963117,28,9,800,V10TM0|V6TM7|V25TM4|V30TM7|V9TM0|V17TM10|V7TM1
raw_random_forest,Raw Random Forest,Random Forest,Raw,0.9992012288786484,0.9641167434715824,0.1428571428571428,440,12.694163199979812,10,3,500,V10TM1|V10TM3|V10TM0|V10TM2|V26TM3|V10TM4|V10TM5
rectified_random_forest,Rectified Random Forest,Random Forest,Rectified,0.99468509984639,0.910783410138249,0.2857142857142857,378,6.176306699984707,10,3,500,V10TM0|V30TM6|V26TM5|V10TM1|V30TM5|V10TM2|V30TM7
