method,method_label,family_label,representation_label,auc_test,j_test,lag_f1_exact,nonzero_total,runtime_seconds,fit_count,cv_candidate_count,iteration_budget,selected_features
raw_l1,Raw L1,L1,Raw,0.995,0.892,0.000,409,4.921,10,3,800,V26TM0|V29TM0|V32TM0|V20TM10|V29TM1|V26TM1|V32TM1
rectified_l1,Rectified L1,L1,Rectified,0.997,0.946,0.571,344,2.826,10,3,800,V6TM7|V6TM6|V10TM0|V9TM1|V13TM10|V30TM7|V26TM5
raw_enet,Raw Elastic Net,Elastic Net,Raw,0.995,0.892,0.000,430,4.248,10,3,800,V26TM0|V29TM0|V32TM0|V20TM10|V29TM1|V26TM1|V32TM1
rectified_enet,Rectified Elastic Net,Elastic Net,Rectified,0.997,0.946,0.571,393,2.876,10,3,800,V6TM7|V6TM6|V10TM0|V13TM10|V9TM1|V26TM5|V30TM7
raw_adaptive_l1,Raw Adaptive L1,Adaptive L1,Raw,0.996,0.897,0.000,209,3.793,14,3,800,V26TM0|V32TM0|V26TM1|V29TM0|V26TM10|V5TM0|V29TM1
rectified_adaptive_l1,Rectified Adaptive L1,Adaptive L1,Rectified,0.992,0.929,0.714,81,2.884,14,3,800,V10TM0|V9TM1|V30TM7|V25TM3|V6TM7|V6TM6|V25TM4
raw_group_lasso,Raw Group Lasso,Group Lasso,Raw,0.993,0.892,0.000,385,1.782,10,3,800,V20TM10|V26TM0|V20TM9|V29TM0|V32TM0|V29TM1|V26TM10
rectified_group_lasso,Rectified Group Lasso,Group Lasso,Rectified,0.996,0.915,0.429,429,1.744,10,3,800,V10TM0|V9TM1|V26TM5|V30TM7|V10TM1|V9TM0|V9TM2
raw_ordered_prefix,Raw Ordered Prefix,Ordered Prefix,Raw,0.993,0.897,0.000,37,3.224,10,3,800,V32TM10|V25TM10|V7TM10|V6TM0|V4TM10|V16TM10|V29TM10
rectified_ordered_prefix,Rectified Ordered Prefix,Ordered Prefix,Rectified,0.993,0.920,0.000,37,3.398,10,3,800,V6TM10|V14TM0|V40TM10|V22TM10|V26TM10|V13TM10|V23TM10
raw_qp_selector,Raw QP + L1,QP + L1,Raw,0.915,0.629,0.000,15,8.590,28,9,800,V27TM9|V27TM10|V20TM3|V25TM8|V20TM10|V4TM0|V10TM5
rectified_qp_selector,Rectified QP + L1,QP + L1,Rectified,0.990,0.906,0.286,15,5.923,28,9,800,V10TM0|V6TM7|V25TM4|V30TM7|V9TM0|V17TM10|V7TM1
raw_random_forest,Raw Random Forest,Random Forest,Raw,0.999,0.964,0.143,440,12.694,10,3,500,V10TM1|V10TM3|V10TM0|V10TM2|V26TM3|V10TM4|V10TM5
rectified_random_forest,Rectified Random Forest,Random Forest,Rectified,0.995,0.911,0.286,378,6.176,10,3,500,V10TM0|V30TM6|V26TM5|V10TM1|V30TM5|V10TM2|V30TM7
