seed,protocol,protocol_label,split,rectifier,rectifier_quantile_low,rectifier_quantile_high,rectifier_snap,rectifier_sdfilter,raw_c,rect_c,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
0,generic_probe,Generic probe,generic70,quantile,0.25,0.75,0.001,,0.1,0.1,0.5874613003095974,0.7770897832817338,0.18962848297213641,0.9558823529411765,0.8823529411764706,-0.07352941176470595,0.631578947368421,0.8947368421052632,0.26315789473684215,8,11
0,matched_split_cutlass,Split-matched cutlass,legacy67,quantile,0.25,0.75,0.001,,0.1,0.1,0.637142857142857,0.716190476190476,0.07904761904761903,0.9466666666666667,0.9066666666666666,-0.040000000000000036,0.6904761904761905,0.8095238095238095,0.11904761904761907,6,12
0,legacy_rectifier_bridge,Legacy rectifier bridge,legacy67,minmax,,,0.0,,0.1,0.1,0.637142857142857,0.7142857142857144,0.0771428571428574,0.9466666666666667,1.0,0.053333333333333344,0.6904761904761905,0.7142857142857143,0.023809523809523836,6,8
0,published_like_legacy,Published-like legacy,legacy67,minmax,,,0.0,,10.0,10.0,0.7266666666666666,0.8438095238095238,0.11714285714285722,0.8933333333333333,0.9866666666666667,0.09333333333333338,0.8333333333333334,0.8571428571428571,0.023809523809523725,30,32
1,generic_probe,Generic probe,generic70,quantile,0.25,0.75,0.001,,0.1,0.1,0.6578947368421053,0.7948916408668731,0.13699690402476783,1.0,0.9264705882352942,-0.07352941176470584,0.6578947368421053,0.868421052631579,0.21052631578947367,10,12
1,matched_split_cutlass,Split-matched cutlass,legacy67,quantile,0.25,0.75,0.001,,0.1,0.1,0.6533333333333333,0.7533333333333334,0.10000000000000009,0.9866666666666667,0.92,-0.06666666666666665,0.6666666666666666,0.8333333333333334,0.16666666666666674,8,10
1,legacy_rectifier_bridge,Legacy rectifier bridge,legacy67,minmax,,,0.0,,0.1,0.1,0.6533333333333333,0.5714285714285714,-0.08190476190476192,0.9866666666666667,1.0,0.013333333333333308,0.6666666666666666,0.5714285714285714,-0.09523809523809523,8,9
1,published_like_legacy,Published-like legacy,legacy67,minmax,,,0.0,,10.0,10.0,0.6504761904761904,0.901904761904762,0.25142857142857156,0.96,0.9733333333333334,0.01333333333333342,0.6904761904761905,0.9285714285714286,0.23809523809523814,32,31
2,generic_probe,Generic probe,generic70,quantile,0.25,0.75,0.001,,0.1,0.1,0.7074303405572755,0.7159442724458205,0.00851393188854499,0.9705882352941176,0.9264705882352942,-0.044117647058823484,0.7368421052631579,0.7894736842105263,0.052631578947368474,9,13
2,matched_split_cutlass,Split-matched cutlass,legacy67,quantile,0.25,0.75,0.001,,0.1,0.1,0.6476190476190475,0.5485714285714285,-0.09904761904761905,0.9333333333333333,0.7866666666666666,-0.14666666666666672,0.7142857142857143,0.7619047619047619,0.04761904761904756,8,13
