seed,method,auc_test,ap_test,j_test,balanced_accuracy_test,brier_test,threshold_train,j_train,features_used,components,primitive_conditions,prep_seconds,fit_seconds,predict_seconds,total_seconds,selected_features,full_support_features,k_selected,adopted,generate_seconds,sample_train,sample_test,positive_rate_train,positive_rate_test
1234,cutlass_sparse,0.9998756631299734,0.9996501865671642,0.9921875,0.99609375,0.0023180383486986226,0.5,,120,120,120,0.015563199995085597,12.690628699958324,0.0,12.70619189995341,V9TM1|V9TM2|V10TM0|V25TM3|V25TM4|V30TM7|V30TM8,V1TM0|V1TM1|V1TM2|V1TM3|V1TM4|V1TM5|V1TM6|V1TM7|V1TM8|V1TM9|V1TM10|V4TM0|V4TM1|V4TM2|V4TM3|V4TM4|V4TM5|V4TM6|V4TM7|V4TM8|V4TM9|V4TM10|V5TM0|V5TM1|V5TM2|V5TM3|V5TM4|V5TM5|V5TM6|V7TM9|V7TM10|V9TM0|V9TM1|V9TM2|V10TM0|V10TM1|V10TM2|V10TM8|V15TM0|V15TM1|V15TM2|V15TM3|V15TM4|V15TM5|V15TM6|V15TM7|V15TM8|V15TM9|V15TM10|V16TM4|V16TM5|V16TM6|V16TM7|V16TM8|V16TM9|V16TM10|V23TM5|V23TM6|V23TM7|V23TM8|V23TM9|V23TM10|V25TM0|V25TM1|V25TM2|V25TM3|V25TM4|V25TM5|V25TM6|V25TM9|V26TM0|V26TM1|V26TM2|V26TM3|V26TM4|V26TM5|V26TM6|V29TM6|V29TM7|V29TM8|V29TM9|V29TM10|V30TM5|V30TM6|V30TM7|V30TM8|V30TM9|V32TM0|V32TM1|V32TM2|V32TM3|V37TM0|V37TM1|V37TM2|V37TM3|V37TM4|V37TM5|V37TM6|V37TM7|V37TM8|V37TM9|V37TM10|V38TM4|V38TM5|V38TM6|V38TM7|V38TM8|V38TM9|V38TM10|V39TM0|V39TM1|V39TM2|V39TM3|V39TM4|V39TM5|V39TM6|V39TM7|V39TM8|V39TM9|V39TM10,,,0.8309630999574438,1177,505,0.2523364485981308,0.25346534653465347
1234,cutlass_logic,0.9974925397877984,0.9948902027027027,0.9921875,0.99609375,0.3346534653465347,,,4,1,4,0.015563199995085597,12.696643399889581,0.0,12.712206599884667,V9TM1|V10TM0|V25TM3|V30TM7,V9TM1|V10TM0|V25TM3|V30TM7,4.0,,0.8309630999574438,1177,505,0.2523364485981308,0.25346534653465347
1234,ebm,1.0,1.0,0.9921875,0.99609375,0.0019753953329451064,0.5,,440,440,440,0.0,31.52922199992463,0.02073520002886653,31.549957199953496,V9TM1|V10TM0|V10TM1|V25TM2|V25TM3|V30TM7|V30TM8,V1TM0|V1TM1|V1TM2|V1TM3|V1TM4|V1TM5|V1TM6|V1TM7|V1TM8|V1TM9|V1TM10|V2TM0|V2TM1|V2TM2|V2TM3|V2TM4|V2TM5|V2TM6|V2TM7|V2TM8|V2TM9|V2TM10|V3TM0|V3TM1|V3TM2|V3TM3|V3TM4|V3TM5|V3TM6|V3TM7|V3TM8|V3TM9|V3TM10|V4TM0|V4TM1|V4TM2|V4TM3|V4TM4|V4TM5|V4TM6|V4TM7|V4TM8|V4TM9|V4TM10|V5TM0|V5TM1|V5TM2|V5TM3|V5TM4|V5TM5|V5TM6|V5TM7|V5TM8|V5TM9|V5TM10|V6TM0|V6TM1|V6TM2|V6TM3|V6TM4|V6TM5|V6TM6|V6TM7|V6TM8|V6TM9|V6TM10|V7TM0|V7TM1|V7TM2|V7TM3|V7TM4|V7TM5|V7TM6|V7TM7|V7TM8|V7TM9|V7TM10|V8TM0|V8TM1|V8TM2|V8TM3|V8TM4|V8TM5|V8TM6|V8TM7|V8TM8|V8TM9|V8TM10|V9TM0|V9TM1|V9TM2|V9TM3|V9TM4|V9TM5|V9TM6|V9TM7|V9TM8|V9TM9|V9TM10|V10TM0|V10TM1|V10TM2|V10TM3|V10TM4|V10TM5|V10TM6|V10TM7|V10TM8|V10TM9|V10TM10|V11TM0|V11TM1|V11TM2|V11TM3|V11TM4|V11TM5|V11TM6|V11TM7|V11TM8|V11TM9|V11TM10|V12TM0|V12TM1|V12TM2|V12TM3|V12TM4|V12TM5|V12TM6|V12TM7|V12TM8|V12TM9|V12TM10|V13TM0|V13TM1|V13TM2|V13TM3|V13TM4|V13TM5|V13TM6|V13TM7|V13TM8|V13TM9|V13TM10|V14TM0|V14TM1|V14TM2|V14TM3|V14TM4|V14TM5|V14TM6|V14TM7|V14TM8|V14TM9|V14TM10|V15TM0|V15TM1|V15TM2|V15TM3|V15TM4|V15TM5|V15TM6|V15TM7|V15TM8|V15TM9|V15TM10|V16TM0|V16TM1|V16TM2|V16TM3|V16TM4|V16TM5|V16TM6|V16TM7|V16TM8|V16TM9|V16TM10|V17TM0|V17TM1|V17TM2|V17TM3|V17TM4|V17TM5|V17TM6|V17TM7|V17TM8|V17TM9|V17TM10|V18TM0|V18TM1|V18TM2|V18TM3|V18TM4|V18TM5|V18TM6|V18TM7|V18TM8|V18TM9|V18TM10|V19TM0|V19TM1|V19TM2|V19TM3|V19TM4|V19TM5|V19TM6|V19TM7|V19TM8|V19TM9|V19TM10|V20TM0|V20TM1|V20TM2|V20TM3|V20TM4|V20TM5|V20TM6|V20TM7|V20TM8|V20TM9|V20TM10|V21TM0|V21TM1|V21TM2|V21TM3|V21TM4|V21TM5|V21TM6|V21TM7|V21TM8|V21TM9|V21TM10|V22TM0|V22TM1|V22TM2|V22TM3|V22TM4|V22TM5|V22TM6|V22TM7|V22TM8|V22TM9|V22TM10|V23TM0|V23TM1|V23TM2|V23TM3|V23TM4|V23TM5|V23TM6|V23TM7|V23TM8|V23TM9|V23TM10|V24TM0|V24TM1|V24TM2|V24TM3|V24TM4|V24TM5|V24TM6|V24TM7|V24TM8|V24TM9|V24TM10|V25TM0|V25TM1|V25TM2|V25TM3|V25TM4|V25TM5|V25TM6|V25TM7|V25TM8|V25TM9|V25TM10|V26TM0|V26TM1|V26TM2|V26TM3|V26TM4|V26TM5|V26TM6|V26TM7|V26TM8|V26TM9|V26TM10|V27TM0|V27TM1|V27TM2|V27TM3|V27TM4|V27TM5|V27TM6|V27TM7|V27TM8|V27TM9|V27TM10|V28TM0|V28TM1|V28TM2|V28TM3|V28TM4|V28TM5|V28TM6|V28TM7|V28TM8|V28TM9|V28TM10|V29TM0|V29TM1|V29TM2|V29TM3|V29TM4|V29TM5|V29TM6|V29TM7|V29TM8|V29TM9|V29TM10|V30TM0|V30TM1|V30TM2|V30TM3|V30TM4|V30TM5|V30TM6|V30TM7|V30TM8|V30TM9|V30TM10|V31TM0|V31TM1|V31TM2|V31TM3|V31TM4|V31TM5|V31TM6|V31TM7|V31TM8|V31TM9|V31TM10|V32TM0|V32TM1|V32TM2|V32TM3|V32TM4|V32TM5|V32TM6|V32TM7|V32TM8|V32TM9|V32TM10|V33TM0|V33TM1|V33TM2|V33TM3|V33TM4|V33TM5|V33TM6|V33TM7|V33TM8|V33TM9|V33TM10|V34TM0|V34TM1|V34TM2|V34TM3|V34TM4|V34TM5|V34TM6|V34TM7|V34TM8|V34TM9|V34TM10|V35TM0|V35TM1|V35TM2|V35TM3|V35TM4|V35TM5|V35TM6|V35TM7|V35TM8|V35TM9|V35TM10|V36TM0|V36TM1|V36TM2|V36TM3|V36TM4|V36TM5|V36TM6|V36TM7|V36TM8|V36TM9|V36TM10|V37TM0|V37TM1|V37TM2|V37TM3|V37TM4|V37TM5|V37TM6|V37TM7|V37TM8|V37TM9|V37TM10|V38TM0|V38TM1|V38TM2|V38TM3|V38TM4|V38TM5|V38TM6|V38TM7|V38TM8|V38TM9|V38TM10|V39TM0|V39TM1|V39TM2|V39TM3|V39TM4|V39TM5|V39TM6|V39TM7|V39TM8|V39TM9|V39TM10|V40TM0|V40TM1|V40TM2|V40TM3|V40TM4|V40TM5|V40TM6|V40TM7|V40TM8|V40TM9|V40TM10,,,0.8309630999574438,1177,505,0.2523364485981308,0.25346534653465347
1234,rulefit,0.9818986240053049,0.9699822459453645,0.8306324602122017,0.9153162301061009,0.035825616734132766,0.5,,22,20,49,0.0,1.3491334000136703,0.02317679999396205,1.3723102000076324,V9TM1|V10TM8|V10TM9|V10TM10|V18TM0|V25TM3|V30TM7,V2TM3|V4TM1|V7TM1|V7TM3|V7TM6|V9TM1|V9TM8|V9TM10|V10TM0|V10TM7|V10TM8|V10TM9|V10TM10|V18TM0|V18TM1|V25TM0|V25TM3|V25TM4|V30TM6|V30TM7|V39TM5|V39TM9,,,0.8309630999574438,1177,505,0.2523364485981308,0.25346534653465347
1234,greedy_rulelist,0.8448172248010609,0.582619588385469,0.14549486074270557,0.5727474303713528,0.12145733961907547,0.5,,5,5,5,0.0,0.1211155999917537,0.002403699909336865,0.12351929990109056,V7TM0|V9TM10|V10TM10|V18TM0|V39TM5,V7TM0|V9TM10|V10TM10|V18TM0|V39TM5,,,0.8309630999574438,1177,505,0.2523364485981308,0.25346534653465347
1235,cutlass_sparse,0.9954846032372681,0.9929959010127076,0.9572805632320041,0.978640281616002,0.01091893606580632,0.5,,326,326,326,0.01584570005070418,12.830486900056712,0.0,12.846332600107417,V6TM6|V9TM0|V9TM1|V10TM0|V25TM2|V25TM3|V30TM7,V1TM4|V1TM5|V1TM6|V1TM7|V1TM8|V1TM9|V1TM10|V2TM0|V2TM1|V2TM2|V2TM3|V2TM6|V2TM7|V2TM8|V2TM9|V2TM10|V3TM0|V3TM1|V3TM2|V3TM3|V3TM4|V3TM5|V3TM6|V3TM7|V3TM8|V3TM9|V3TM10|V4TM0|V4TM1|V4TM2|V4TM3|V4TM4|V4TM5|V4TM6|V4TM7|V4TM8|V4TM9|V4TM10|V5TM0|V5TM1|V5TM2|V5TM3|V5TM4|V5TM5|V5TM6|V5TM7|V5TM8|V5TM9|V5TM10|V6TM0|V6TM1|V6TM2|V6TM3|V6TM4|V6TM5|V6TM6|V6TM7|V6TM8|V6TM10|V7TM0|V7TM1|V7TM2|V7TM3|V7TM4|V8TM0|V8TM5|V8TM9|V8TM10|V9TM0|V9TM1|V9TM2|V9TM3|V9TM4|V9TM5|V9TM6|V9TM7|V10TM0|V10TM1|V10TM2|V10TM3|V10TM4|V10TM5|V10TM6|V10TM7|V10TM8|V10TM9|V11TM0|V11TM1|V11TM2|V11TM3|V11TM4|V11TM5|V11TM6|V11TM7|V11TM8|V11TM9|V11TM10|V12TM0|V12TM1|V12TM2|V12TM6|V12TM7|V12TM8|V12TM9|V12TM10|V13TM0|V13TM1|V13TM2|V13TM3|V13TM4|V13TM5|V13TM6|V13TM7|V13TM8|V13TM9|V13TM10|V14TM0|V14TM1|V14TM2|V14TM3|V14TM4|V14TM5|V14TM6|V14TM7|V14TM8|V14TM9|V14TM10|V15TM0|V15TM1|V15TM2|V15TM3|V15TM4|V15TM5|V15TM6|V15TM7|V15TM8|V15TM9|V16TM9|V17TM5|V17TM6|V17TM7|V17TM8|V17TM9|V18TM6|V18TM8|V19TM0|V19TM1|V19TM2|V19TM3|V19TM4|V19TM5|V19TM6|V19TM7|V19TM8|V19TM9|V19TM10|V20TM2|V20TM3|V20TM4|V20TM5|V20TM6|V20TM7|V20TM8|V20TM9|V20TM10|V21TM5|V21TM6|V21TM7|V21TM8|V21TM9|V21TM10|V22TM0|V22TM1|V22TM2|V22TM5|V22TM6|V22TM7|V22TM8|V22TM9|V22TM10|V23TM0|V23TM1|V23TM2|V23TM3|V23TM4|V23TM5|V23TM6|V23TM7|V23TM8|V23TM9|V23TM10|V24TM0|V24TM1|V24TM2|V24TM3|V24TM4|V24TM5|V24TM6|V24TM7|V24TM8|V24TM9|V24TM10|V25TM1|V25TM2|V25TM3|V25TM4|V25TM5|V26TM0|V26TM2|V26TM3|V26TM4|V26TM5|V26TM6|V26TM7|V26TM8|V26TM9|V26TM10|V27TM0|V27TM1|V27TM2|V27TM3|V27TM4|V27TM5|V27TM6|V27TM7|V27TM8|V28TM2|V28TM8|V28TM9|V28TM10|V29TM0|V29TM1|V29TM2|V29TM3|V29TM4|V29TM5|V29TM6|V29TM7|V30TM3|V30TM4|V30TM5|V30TM6|V30TM7|V30TM8|V30TM9|V30TM10|V31TM0|V31TM1|V31TM2|V31TM3|V31TM10|V32TM0|V32TM1|V32TM2|V32TM3|V32TM4|V32TM5|V32TM6|V32TM7|V32TM8|V32TM9|V32TM10|V33TM0|V33TM1|V33TM2|V33TM3|V33TM4|V33TM5|V33TM6|V33TM7|V33TM8|V35TM0|V35TM1|V35TM2|V35TM3|V35TM5|V35TM6|V35TM7|V35TM8|V35TM9|V35TM10|V36TM0|V36TM1|V36TM2|V36TM3|V36TM4|V36TM5|V36TM6|V36TM7|V36TM8|V36TM9|V37TM0|V37TM1|V37TM2|V37TM3|V37TM4|V37TM5|V37TM6|V37TM7|V37TM8|V37TM9|V37TM10|V38TM0|V38TM1|V38TM2|V38TM3|V38TM4|V38TM5|V38TM6|V38TM7|V39TM0|V39TM1|V39TM2|V39TM3|V39TM4|V39TM9|V39TM10|V40TM0|V40TM3|V40TM4|V40TM5|V40TM6|V40TM7|V40TM8|V40TM9|V40TM10,,,0.4770923999603838,1299,557,0.2525019245573518,0.26750448833034113
1235,cutlass_logic,0.9929102513488617,0.9835338576302399,0.9664429530201342,0.9832214765100671,0.4304308797127469,,,10,1,10,0.01584570005070418,12.8362674000673,0.0,12.852113100118004,V5TM10|V6TM6|V6TM7|V9TM0|V9TM1|V10TM0|V15TM5|V25TM2|V25TM3|V30TM7,V5TM10|V6TM6|V6TM7|V9TM0|V9TM1|V10TM0|V15TM5|V25TM2|V25TM3|V30TM7,10.0,,0.4770923999603838,1299,557,0.2525019245573518,0.26750448833034113
1235,ebm,1.0,1.0,0.9865771812080537,0.9932885906040269,0.002216729531701879,0.5,,440,440,440,0.0,28.262039399938658,0.022469800082035363,28.284509200020693,V5TM10|V6TM6|V9TM1|V10TM0|V15TM5|V25TM3|V30TM7,V1TM0|V1TM1|V1TM2|V1TM3|V1TM4|V1TM5|V1TM6|V1TM7|V1TM8|V1TM9|V1TM10|V2TM0|V2TM1|V2TM2|V2TM3|V2TM4|V2TM5|V2TM6|V2TM7|V2TM8|V2TM9|V2TM10|V3TM0|V3TM1|V3TM2|V3TM3|V3TM4|V3TM5|V3TM6|V3TM7|V3TM8|V3TM9|V3TM10|V4TM0|V4TM1|V4TM2|V4TM3|V4TM4|V4TM5|V4TM6|V4TM7|V4TM8|V4TM9|V4TM10|V5TM0|V5TM1|V5TM2|V5TM3|V5TM4|V5TM5|V5TM6|V5TM7|V5TM8|V5TM9|V5TM10|V6TM0|V6TM1|V6TM2|V6TM3|V6TM4|V6TM5|V6TM6|V6TM7|V6TM8|V6TM9|V6TM10|V7TM0|V7TM1|V7TM2|V7TM3|V7TM4|V7TM5|V7TM6|V7TM7|V7TM8|V7TM9|V7TM10|V8TM0|V8TM1|V8TM2|V8TM3|V8TM4|V8TM5|V8TM6|V8TM7|V8TM8|V8TM9|V8TM10|V9TM0|V9TM1|V9TM2|V9TM3|V9TM4|V9TM5|V9TM6|V9TM7|V9TM8|V9TM9|V9TM10|V10TM0|V10TM1|V10TM2|V10TM3|V10TM4|V10TM5|V10TM6|V10TM7|V10TM8|V10TM9|V10TM10|V11TM0|V11TM1|V11TM2|V11TM3|V11TM4|V11TM5|V11TM6|V11TM7|V11TM8|V11TM9|V11TM10|V12TM0|V12TM1|V12TM2|V12TM3|V12TM4|V12TM5|V12TM6|V12TM7|V12TM8|V12TM9|V12TM10|V13TM0|V13TM1|V13TM2|V13TM3|V13TM4|V13TM5|V13TM6|V13TM7|V13TM8|V13TM9|V13TM10|V14TM0|V14TM1|V14TM2|V14TM3|V14TM4|V14TM5|V14TM6|V14TM7|V14TM8|V14TM9|V14TM10|V15TM0|V15TM1|V15TM2|V15TM3|V15TM4|V15TM5|V15TM6|V15TM7|V15TM8|V15TM9|V15TM10|V16TM0|V16TM1|V16TM2|V16TM3|V16TM4|V16TM5|V16TM6|V16TM7|V16TM8|V16TM9|V16TM10|V17TM0|V17TM1|V17TM2|V17TM3|V17TM4|V17TM5|V17TM6|V17TM7|V17TM8|V17TM9|V17TM10|V18TM0|V18TM1|V18TM2|V18TM3|V18TM4|V18TM5|V18TM6|V18TM7|V18TM8|V18TM9|V18TM10|V19TM0|V19TM1|V19TM2|V19TM3|V19TM4|V19TM5|V19TM6|V19TM7|V19TM8|V19TM9|V19TM10|V20TM0|V20TM1|V20TM2|V20TM3|V20TM4|V20TM5|V20TM6|V20TM7|V20TM8|V20TM9|V20TM10|V21TM0|V21TM1|V21TM2|V21TM3|V21TM4|V21TM5|V21TM6|V21TM7|V21TM8|V21TM9|V21TM10|V22TM0|V22TM1|V22TM2|V22TM3|V22TM4|V22TM5|V22TM6|V22TM7|V22TM8|V22TM9|V22TM10|V23TM0|V23TM1|V23TM2|V23TM3|V23TM4|V23TM5|V23TM6|V23TM7|V23TM8|V23TM9|V23TM10|V24TM0|V24TM1|V24TM2|V24TM3|V24TM4|V24TM5|V24TM6|V24TM7|V24TM8|V24TM9|V24TM10|V25TM0|V25TM1|V25TM2|V25TM3|V25TM4|V25TM5|V25TM6|V25TM7|V25TM8|V25TM9|V25TM10|V26TM0|V26TM1|V26TM2|V26TM3|V26TM4|V26TM5|V26TM6|V26TM7|V26TM8|V26TM9|V26TM10|V27TM0|V27TM1|V27TM2|V27TM3|V27TM4|V27TM5|V27TM6|V27TM7|V27TM8|V27TM9|V27TM10|V28TM0|V28TM1|V28TM2|V28TM3|V28TM4|V28TM5|V28TM6|V28TM7|V28TM8|V28TM9|V28TM10|V29TM0|V29TM1|V29TM2|V29TM3|V29TM4|V29TM5|V29TM6|V29TM7|V29TM8|V29TM9|V29TM10|V30TM0|V30TM1|V30TM2|V30TM3|V30TM4|V30TM5|V30TM6|V30TM7|V30TM8|V30TM9|V30TM10|V31TM0|V31TM1|V31TM2|V31TM3|V31TM4|V31TM5|V31TM6|V31TM7|V31TM8|V31TM9|V31TM10|V32TM0|V32TM1|V32TM2|V32TM3|V32TM4|V32TM5|V32TM6|V32TM7|V32TM8|V32TM9|V32TM10|V33TM0|V33TM1|V33TM2|V33TM3|V33TM4|V33TM5|V33TM6|V33TM7|V33TM8|V33TM9|V33TM10|V34TM0|V34TM1|V34TM2|V34TM3|V34TM4|V34TM5|V34TM6|V34TM7|V34TM8|V34TM9|V34TM10|V35TM0|V35TM1|V35TM2|V35TM3|V35TM4|V35TM5|V35TM6|V35TM7|V35TM8|V35TM9|V35TM10|V36TM0|V36TM1|V36TM2|V36TM3|V36TM4|V36TM5|V36TM6|V36TM7|V36TM8|V36TM9|V36TM10|V37TM0|V37TM1|V37TM2|V37TM3|V37TM4|V37TM5|V37TM6|V37TM7|V37TM8|V37TM9|V37TM10|V38TM0|V38TM1|V38TM2|V38TM3|V38TM4|V38TM5|V38TM6|V38TM7|V38TM8|V38TM9|V38TM10|V39TM0|V39TM1|V39TM2|V39TM3|V39TM4|V39TM5|V39TM6|V39TM7|V39TM8|V39TM9|V39TM10|V40TM0|V40TM1|V40TM2|V40TM3|V40TM4|V40TM5|V40TM6|V40TM7|V40TM8|V40TM9|V40TM10,,,0.4770923999603838,1299,557,0.2525019245573518,0.26750448833034113
1235,rulefit,0.9451325832346361,0.9149947862299534,0.6796617976049482,0.8398308988024741,0.07011282961204104,0.5,,37,20,60,0.0,1.493477200041525,0.023862199974246323,1.5173394000157714,V3TM2|V9TM6|V13TM0|V18TM10|V24TM1|V25TM1|V30TM7,V2TM0|V2TM2|V3TM0|V3TM2|V5TM0|V5TM1|V9TM4|V9TM5|V9TM6|V9TM7|V13TM0|V13TM1|V13TM7|V15TM2|V15TM10|V18TM10|V20TM8|V21TM3|V24TM1|V24TM5|V25TM1|V25TM2|V25TM10|V26TM5|V26TM9|V26TM10|V29TM7|V30TM1|V30TM2|V30TM4|V30TM7|V32TM4|V32TM8|V32TM10|V36TM0|V39TM0|V39TM1,,,0.4770923999603838,1299,557,0.2525019245573518,0.26750448833034113
1235,greedy_rulelist,0.7714501908145808,0.504846802415177,0.11409395973154357,0.5570469798657718,0.14939838244407186,0.5,,5,5,5,0.0,0.11894079996272922,0.002189300023019314,0.12113009998574853,V1TM9|V3TM0|V9TM5|V23TM8|V26TM10,V1TM9|V3TM0|V9TM5|V23TM8|V26TM10,,,0.4770923999603838,1299,557,0.2525019245573518,0.26750448833034113
