k,train_j,test_j,test_auc
1,0.5838557993730407,0.0,0.5
2,0.5838557993730407,0.0,0.5
3,0.7484326018808778,0.5203703703703704,0.7601851851851852
4,0.7374608150470219,0.5055555555555555,0.8645216049382716
5,0.8260188087774294,0.8055555555555556,0.9265534979423868
6,0.8385579937304075,0.7925925925925927,0.9483196159122085
7,0.8448275862068966,0.8925925925925926,0.9596913580246913
8,0.8495297805642634,0.8722222222222222,0.9610322359396432
9,0.8683385579937304,0.9092592592592594,0.9709825102880658
10,0.8659874608150471,0.8925925925925926,0.9742918381344308
11,0.8683385579937304,0.912962962962963,0.9742832647462277
12,0.8738244514106583,0.912962962962963,0.9759567901234567
13,0.8926332288401255,0.9092592592592592,0.9755144032921811
14,0.8981191222570533,0.911111111111111,0.9782235939643347
15,0.9051724137931034,0.911111111111111,0.9797908093278465
16,0.9067398119122259,0.914814814814815,0.9810973936899862
17,0.903605015673981,0.912962962962963,0.9799142661179698
18,0.89576802507837,0.911111111111111,0.9781155692729767
19,0.9020376175548588,0.8962962962962964,0.9805246913580248
20,0.8918495297805644,0.8981481481481481,0.9793775720164608
21,0.8871473354231973,0.8944444444444444,0.9773713991769547
22,0.8926332288401255,0.9074074074074074,0.980661865569273
23,0.8871473354231976,0.9055555555555554,0.978101851851852
24,0.8894984326018809,0.9148148148148147,0.9797307956104252
25,0.8926332288401255,0.912962962962963,0.9834550754458162
26,0.8918495297805644,0.8999999999999999,0.9865380658436214
27,0.8887147335423198,0.9296296296296296,0.9841117969821674
28,0.8871473354231973,0.9092592592592592,0.9856189986282579
29,0.89576802507837,0.9259259259259258,0.9852709190672154
30,0.9004702194357366,0.9018518518518519,0.9890346364883402
31,0.8973354231974922,0.9018518518518519,0.9894855967078189
32,0.8918495297805642,0.9074074074074074,0.9902829218106997
33,0.8887147335423198,0.9074074074074074,0.9897650891632372
34,0.8871473354231973,0.9037037037037037,0.9918792866941015
35,0.8855799373040751,0.9055555555555554,0.9910991083676268
36,0.8887147335423198,0.924074074074074,0.9901183127572015
37,0.8894984326018809,0.922222222222222,0.9927880658436213
38,0.8926332288401255,0.9222222222222223,0.9953858024691358
39,0.896551724137931,0.9370370370370371,0.9917815500685871
