rank,feature,coefficient,abs_coefficient
1,P2_SIT01_10,-0.46535360766264217,0.46535360766264217
2,P1_TIT01_01,-0.4610225315056552,0.4610225315056552
3,P1_PCV01Z_01,0.2717874041329328,0.2717874041329328
4,P1_PCV01Z_02,0.23399420868913698,0.23399420868913698
5,P2_SIT01_09,-0.22661413394896035,0.22661413394896035
6,P1_PCV01Z_03,0.2259277164229153,0.2259277164229153
7,P1_PCV01Z_05,0.224509399166105,0.224509399166105
8,P1_PCV01Z_04,0.21835782411123414,0.21835782411123414
9,P1_PCV01Z_06,0.20493913107571607,0.20493913107571607
10,P1_PCV01Z_10,0.16068663323391288,0.16068663323391288
11,P1_PCV01Z_07,0.1596095403458963,0.1596095403458963
12,P1_PCV01Z_09,0.15404325361995322,0.15404325361995322
