rank,feature,coefficient,abs_coefficient
1,P2_VYT02_06,-0.27969134767987347,0.27969134767987347
2,P2_VYT02_07,-0.2671227075116037,0.2671227075116037
3,P2_VYT02_04,-0.26564641575859205,0.26564641575859205
4,P2_VYT02_05,-0.25375664379826957,0.25375664379826957
5,P2_VYT02_03,-0.203684374817069,0.203684374817069
6,P2_VYT02_02,-0.19037120304285698,0.19037120304285698
7,P4_ST_PT01_07,0.18902787665857207,0.18902787665857207
8,P2_VYT02_09,-0.1818415943013758,0.1818415943013758
9,P2_VYT02_01,-0.17569559182323774,0.17569559182323774
10,P2_VYT02_08,-0.1686040228939205,0.1686040228939205
11,P1_FCV03Z_01,0.160920813685992,0.160920813685992
12,P4_ST_PT01_06,0.13684543215890968,0.13684543215890968
