rank,feature,signed_direction,coefficient,abs_coefficient,subsystem
1,P1_B3005_01,+,0.43249885459627363,0.43249885459627363,P1
2,P2_SD01_01,+,0.3783036705948825,0.3783036705948825,P2
3,P2_VYT02_06,-,-0.2796618499220025,0.2796618499220025,P2
4,P2_VYT02_07,-,-0.26710187180072986,0.26710187180072986,P2
5,P2_VYT02_04,-,-0.2656694333329161,0.2656694333329161,P2
6,P2_VYT02_05,-,-0.2537863339285365,0.2537863339285365,P2
7,P2_VYT02_03,-,-0.2036642505521013,0.2036642505521013,P2
8,P2_VYT02_02,-,-0.19035652121495394,0.19035652121495394,P2
9,P4_ST_PT01_07,+,0.1896261530983247,0.1896261530983247,P4
10,P2_VYT02_09,-,-0.18179795406805405,0.18179795406805405,P2
11,P2_VYT02_01,-,-0.17572518202023063,0.17572518202023063,P2
12,P2_VYT02_08,-,-0.16859987045259067,0.16859987045259067,P2
13,P1_FCV03Z_01,+,0.16109632579942418,0.16109632579942418,P1
14,P4_ST_PT01_06,+,0.13733034382031795,0.13733034382031795,P4
